"id_products";"name";"description";"price";"id_categories";"image"
1;"Kits de Cuarentena";"✨ Para que ninguno niño/a se quede sin festejar! ✨\n El kit incluye: \n -2 Frascos rellenos. \n -2 Turrones \n -2 Mogul forradas \n -2 Chocolatines \n -2 Cajas milk rellenas \n -Banderín con nombre \n -Cartel para decorar \n -Tematica de animal a elección";500;2;"img-prod1.jpg"
2;"Decoración tematica de Naruto";"Este articulo incluye: \n -Invitaciones. \n -Banderines con letras. \n -Bolsitas sorpresa. \n -Cajas sorpresa tipo milkbox en varios colores. \n -Cartel bienvenida A3. \n Fajas para botellas. \n -Envoltorios para golosina Tita. \n -Envoltorios para golosina Rhodesia. \n -Envoltor";999;2;"img-prod2.jpg"
3;"Caja Sorpresa de Regalo ToyStory";"Cajita llena de golosinas \n Incluye: \n -Chocolate \n -Turron \n -Chocolatin \n -Alfajor \n -Colchon de pochoclos \n -Caramelos y pastillitas \n PERSONALIZADO CON LA TEMÁTICA QUE MAS TE GUSTE.";729;2;"img-prod3.jpg"
4;"Mini maquina de chicles";"Mini maquina de golocinas dispensadora d echicles ideal para souvenir \n Incluye: \n -50g de chicles por maquinita. \n -El pack trae 60 maquinas";4790;2;"img-prod4.jpg"
5;"Decoración tematica de River/Boca";"Este articulo incluye: \n -Invitaciones. \n -Banderines con letras. \n -Bolsitas sorpresa. \n -Cajas sorpresa tipo milkbox en varios colores. \n -Cartel bienvenida A3. \n Fajas para botellas. \n -Envoltorios para golosina Tita. \n -Envoltorios para golosina Rhodesia. \n -Envoltor";3000;3;"img-prod5.jpg"
6;"Decoración tematica de King celeste";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas tempus nec ante sit amet venenatis. Ut posuere diam nec orci fringilla imperdiet. Mauris tincidunt feugiat felis id tincidunt. Nam in diam turpis. Nullam a dictum justo, ac efficitur augue.";780;3;"img-prod6.jpg"
7;"Decoración tematica de Queen rosa";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas tempus nec ante sit amet venenatis. Ut posuere diam nec orci fringilla imperdiet. Mauris tincidunt feugiat felis id tincidunt. Nam in diam turpis. Nullam a dictum justo, ac efficitur augue.";760;3;"img-prod7.jpg"
8;"Tematica de super heroe";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas tempus nec ante sit amet venenatis. Ut posuere diam nec orci fringilla imperdiet. Mauris tincidunt feugiat felis id tincidunt. Nam in diam turpis. Nullam a dictum justo, ac efficitur augue.";8000;3;"img-prod8.jpg"
9;"Decoracion infantil con helados";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas tempus nec ante sit amet venenatis. Ut posuere diam nec orci fringilla imperdiet. Mauris tincidunt feugiat felis id tincidunt. Nam in diam turpis. Nullam a dictum justo, ac efficitur augue.";390;4;"img-prod9.jpg"
10;"Fiesta bautismo de unicornio para nena";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas tempus nec ante sit amet venenatis. Ut posuere diam nec orci fringilla imperdiet. Mauris tincidunt feugiat felis id tincidunt. Nam in diam turpis. Nullam a dictum justo, ac efficitur augue.";1200;4;"img-prod10.jpg"
11;"Cumpleaños primer año en cuarentena";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas tempus nec ante sit amet venenatis. Ut posuere diam nec orci fringilla imperdiet. Mauris tincidunt feugiat felis id tincidunt. Nam in diam turpis. Nullam a dictum justo, ac efficitur augue.";1990;4;"img-prod11.jpg"
12;"Decoración basica para fiesta primer año";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas tempus nec ante sit amet venenatis. Ut posuere diam nec orci fringilla imperdiet. Mauris tincidunt feugiat felis id tincidunt. Nam in diam turpis. Nullam a dictum justo, ac efficitur augue.";390;4;"img-prod12.jpg"
13;"Banner/mural de Stitch";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas tempus nec ante sit amet venenatis. Ut posuere diam nec orci fringilla imperdiet. Mauris tincidunt feugiat felis id tincidunt. Nam in diam turpis. Nullam a dictum justo, ac efficitur augue.";789;2;"img-prod13.jpg"
14;"Kit de decoracion de animales";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas tempus nec ante sit amet venenatis. Ut posuere diam nec orci fringilla imperdiet. Mauris tincidunt feugiat felis id tincidunt. Nam in diam turpis. Nullam a dictum justo, ac efficitur augue.";789;2;"img-prod14.jpg"
15;"Pack 50 vasos descartables";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas tempus nec ante sit amet venenatis. Ut posuere diam nec orci fringilla imperdiet. Mauris tincidunt feugiat felis id tincidunt. Nam in diam turpis. Nullam a dictum justo, ac efficitur augue.";600;2;"img-prod15.jpg"
16;"Pusheen Cat Perzonalizado con Textos Editables";"Este articulo incluye: \n -Invitaciones. \n -Banderines con letras. \n -Bolsitas sorpresa. \n -Cajas sorpresa tipo milkbox en varios colores. \n -Círculos de 42mm ideales para moneditas de chocolate. \n -Cartel bienvenida A3. \n Fajas para botellas. \n -Envoltorios para golosina ";790;2;"img-prod16.jpg"
17;"Harry Potter Decoración Temática";"Este mágico kit decoración de fiesta para incluye:\r\n\r\n♥ Banderines separadores con imágenes\r\n♥ Banderitas multiusos\r\n♥ Círculos multiusos de 5,3 cm. con imágenes\r\n♥ Círculos multiusos de 14 cm. con imágenes\r\n♥ Conos para popcorn o golosinas\r\n♥ Etiquetas botellitas o";850;5;"image-1598996459743.jpg"
